AGE EMP ADRE REVENU CREDIT DEBTINCOME CREDDEBT OTHDEBT ED DECOUVERT
41 17 12 176 9.3 17.3 1.362202 4.000798 Bac+5 1
27 10 6 31 17.3 5.5 0.856075 2.168925 Bac 0
40 15 14 55 5.5 2.9 2.65872 0.82128 Bac 0
41 15 14 120 2.9 10.2 0.3927 2.1573 Bac 0
24 2 0 28 17.3 30.6 3.833874 16.668126 Bac+3 1
41 5 5 25 10.2 3.6 0.128592 1.239408 Bac+3 0
39 20 9 67 30.6 19.7 2.7777 2.1473 Bac 0
43 12 11 38 3.6 1.7 0.182512 0.089488 Bac 0
24 3 4 19 24.4 5.2 0.252356 0.943644 Bac 1
36 0 13 25 19.7 10 3.9296 2.4704 Bac 0
27 0 1 16 1.7 16.3 1.715901 3.011099 Bac 0
25 4 0 23 5.2 9.1 3.7037 5.3963 Bac 0
52 24 14 64 10 7.6 1.181952 4.290048 Bac 0
37 6 9 29 16.3 5.7 0.563274 2.913726 Bac 0
48 22 15 100 9.1 1.7 0.099008 0.342992 Bac 0
36 9 6 49 8.6 3.2 1.154816 0.509184 Bac+3 1
36 13 6 41 16.4 5.6 0.587552 1.820448 Bac+3 1
43 23 19 72 7.6 10 0.4316 2.1684 Bac 0
39 6 9 61 5.7 9.8 0.402192 2.243808 Bac 0
41 0 21 26 1.7 17.6 2.14016 3.49184 Bac+5 0
39 22 3 52 3.2 6.7 0.707319 3.915681 Bac 0
47 17 21 43 5.6 16.7 0.951232 9.736768 Bac 0
28 3 6 26 10 18.4 3.084208 7.587792 Bac 0
29 8 6 27 9.8 14.2 0.204906 5.049094 Bac 0
21 1 2 16 18 2.1 0.105 0.315 Bac+3 1
25 0 2 32 17.6 10.5 1.13883 1.17117 SansBac 0
45 9 26 69 6.7 6 0.72228 0.83772 Bac+3 0
43 25 21 64 16.7 14.4 1.018656 2.869344 Bac 0
33 12 8 58 18.4 2.9 0.07714 0.93786 Bac+3 0
26 2 1 37 14.2 26 6.0489 5.6511 Bac+5 0
45 3 15 20 2.1 16.1 1.409716 2.132284 Bac 0
30 1 10 22 10.5 14.4 3.195936 4.580064 Bac 0
27 2 7 26 6 4.2 0.5586 1.5414 Bac+5 0
25 8 4 27 14.4 6.6 0.33759 1.70841 Bac 0
25 8 1 35 2.9 8 1.80776 2.91224 Bac 0
26 6 7 45 26 4.6 0.941114 0.944886 Bac+3 0
30 10 4 22 16.1 13.1 1.930416 4.357584 Bac+3 0
32 12 1 54 14.4 6.8 0.150144 0.937856 Bac+3 0
28 1 8 24 17.1 4.5 0.43155 1.14345 Bac+3 1
45 23 5 50 4.2 10.4 0.12168 2.58232 Bac 0
23 7 2 31 6.6 7.4 0.205128 2.902872 Bac 0
34 17 3 59 8 14 0.8092 1.9908 Bac 0
42 7 23 41 4.6 3.7 0.311725 0.613275 Bac+3 0
39 19 5 48 13.1 9.5 0.55328 2.10672 Bac 0
26 0 0 14 7.5 5 0.3978 1.3022 Bac 1
21 0 1 16 6.8 2.4 1.061496 0.594504 Bac+3 0
35 13 15 35 4.5 2.5 1.485 1.015 Bac 0
47 4 2 26 10.4 12.2 2.47904 7.28096 Bac 0
23 0 2 21 11.4 2.4 0.047712 0.624288 Bac+3 1
35 18 2 42 7.4 12.4 0.86986 1.98214 Bac 0
34 2 11 25 12.6 7 2.15985 1.69015 Bac 1
46 1 12 20 14 7.8 1.024296 1.159704 Bac 0
46 16 18 52 12.9 9.1 2.515786 1.670214 Bac 1
38 3 18 25 3.7 23.1 1.401939 3.449061 Bac+5 0
40 3 2 28 9.5 23.8 3.099236 4.992764 Bac+3 0
37 1 3 24 15.1 12.8 4.5824 8.2176 Bac 1
35 9 1 34 5 10.6 1.518556 1.237444 Bac 0
39 16 13 69 2.4 1.7 0.07106 0.67694 Bac+3 0
40 18 6 100 2.5 23.8 3.738504 8.399496 Bac+5 0
50 10 20 80 12.2 0.6 0.025074 0.100926 Bac+5 0
31 9 10 28 2.4 6.7 0.157182 0.981818 Bac 0
29 13 1 42 7.4 2.6 0.199134 0.762866 Bac 1
37 4 0 23 12.4 3.2 0.6864 0.5616 Bac 0
33 4 9 55 7 17 2.7387 4.9113 Bac+3 0
26 5 7 28 7.8 19.6 2.69696 3.57504 Bac+3 0
32 11 6 75 23.3 11 1.84382 1.34618 Bac+3 1
28 2 3 23 6.4 5.4 0.3186 0.7614 Bac+3 1
39 19 8 46 9.1 18.8 2.01348 6.44652 Bac 0
28 8 3 31 8.2 24.6 1.405398 5.728602 Bac+3 1
29 1 2 20 18.6 2.9 0.116116 0.695884 Bac 1
34 3 8 21 23.1 6.2 0.052762 1.373238 Bac+3 0
28 5 9 34 23.8 10.6 1.499688 4.224312 Bac+3 0
47 26 21 100 12.8 4.4 0.727056 1.648944 Bac 0
43 1 5 26 10.6 3.3 1.315116 1.390884 SansBac 0
41 13 10 44 1.7 7.3 0.926224 2.869776 Bac 0
47 13 25 51 23.8 6.3 0.681093 0.515907 Bac 0
24 2 1 21 0.6 2.6 0.987168 1.950832 Bac 0
29 1 9 17 6.7 8.3 0.030212 2.127788 Bac 0
33 14 2 37 2.6 5.8 0.776736 0.789264 Bac 0
